YEAR DAY  HH MM SS   DIST   DENS     Vpar    Tpar   Tperp     T      Emean     Apex	sc
2001 273  11 20 22   6.02  0.2814     91.8   420.3   476.8   458.0   1388.8    35.8	3
2001 273  11 21 42   5.99  0.2476     91.9   888.7   374.3   545.7   1525.5    29.6	3
2001 273  11 22 38   5.98  0.2629     91.0   315.1   513.8   447.5   1361.7    37.9	3
2001 273  10 47 34   5.82  0.7099     60.2   128.1   118.8   121.9    498.1    27.5	4
2001 273  10 48 30   5.80  0.3592     66.1   142.8   188.8   173.4    627.3    32.6	4
2001 273  10 49 26   5.79  0.7165     64.9   130.9   173.1   159.0    590.4    32.7	4
2001 285  12  1 30   4.84  0.0890    119.5   968.9  1188.6  1115.4   2864.3    40.2	1
2001 285  12  2 30   4.86  0.1449    119.6  1311.5   632.0   858.5   2482.8    30.2	1
2001 285  12  3 26   4.87  0.1698    123.0  1108.4   754.5   872.5   2572.0    32.6	1
2001 285  12  4 23   4.88  0.1710    120.3   707.6   499.4   568.8   2061.2    29.2	1
2001 285  12  5 19   4.89  0.1073    123.4   484.8   604.9   564.9   2121.4    31.7	1
2001 285  12 34 36   4.60  0.0454    151.8  3273.6  2283.6  2613.6   5887.1    38.0	3
2001 285  12 35 32   4.61  0.0794    117.2  2222.2  1533.3  1763.0   3804.2    39.3	3
2001 285  12 36 28   4.62  0.1047    117.4  1665.7  1790.4  1748.8   3777.6    42.7	3
2001 285  12 37 24   4.63  0.2033    119.9   819.5  2643.1  2035.2   4253.0    51.8	3
2001 285  12 38 24   4.64  0.2840    141.7  2253.2  2497.0  2415.7   5301.0    42.8	3
2001 285  11 59 18   4.59  0.1371     74.2  1901.3   875.1  1217.2   2294.5    38.2	4
2001 285  12  0  6   4.60  0.1736     83.1  1945.3  1141.8  1409.6   2752.1    39.1	4
2001 285  12  0 38   4.61  0.1772    128.5  1553.1  1734.6  1674.1   3903.8    42.2	4
2001 285  12  1 18   4.62  0.2561    136.0  1572.2   945.2  1154.2   3275.1    32.3	4
2001 287  17 31 35   5.88  0.1135     68.2   629.1   612.2   617.8   1320.4    43.0	1
2001 287  17 32 31   5.86  0.1174     57.5   514.2   421.0   452.1    956.9    41.8	1
2001 287  17 33 27   5.84  0.1204     45.5   442.1   247.5   312.4    642.5    38.3	1
2001 287  17 34 24   5.83  0.0996     51.9   355.2   493.0   447.0    896.2    47.7	1
2001 287  17 35 20   5.81  0.1200     49.4   392.6   299.1   330.2    699.9    41.5	1
2001 287  18 34 32   5.53  0.1978     49.3   476.3   305.5   362.4    747.6    39.8	3
2001 287  18 35 28   5.52  0.0957     63.7  1175.5   738.0   883.8   1671.8    42.3	3
2001 287  18 36 24   5.50  0.0910     73.0  1250.8  1035.6  1107.3   2107.8    45.6	3
2001 287  18 37 20   5.48  0.1108     78.5  1419.4  1115.0  1216.5   2347.8    43.3	3
2001 287  18 38 16   5.47  0.0896     58.9   876.3   657.6   730.5   1388.0    43.3	3
2001 287  17 40 49   5.68  0.2029     55.8   173.5   205.8   195.0    553.2    37.5	4
2001 287  17 41 46   5.65  0.1936     57.0   104.6   269.7   214.7    593.5    42.1	4
2001 287  17 42 42   5.64  0.2801     53.8    63.4   153.9   123.8    426.9    36.7	4
2001 287  17 43 38   5.62  0.2124     56.8   273.5   195.0   221.1    602.5    35.1	4
2001 287  17 44 34   5.61  0.1549     62.6   312.5   363.9   346.8    848.8    40.7	4
2001 292  15  8 34   4.67  0.1093     73.8   640.3   494.5   543.1   1273.1    36.3	1
2001 292  15  9 30   4.68  0.1753     79.1   596.7   320.8   412.7   1140.6    31.8	1
2001 292  15 10 26   4.69  0.1902     70.9   555.9   367.6   430.4   1065.6    34.1	1
2001 292  15 11 23   4.70  0.1669     68.0   580.3   628.3   612.3   1304.6    44.2	1
2001 292  15 46 35   4.48  0.0239    150.5  2862.1  2861.0  2861.4   6223.9    41.6	3
2001 292  15 47 31   4.49  0.0969    108.3  2098.4  1129.1  1452.2   3166.2    36.8	3
2001 292  15 48 27   4.50  0.0571    126.8  1659.6  1316.2  1430.6   3517.7    37.9	3
2001 292  15  8 31   4.42  0.1860     63.0   589.6   527.8   548.4   1157.3    41.9	4
2001 292  15  9 31   4.43  0.2741     70.6   626.3   376.5   459.8   1107.0    35.2	4
2001 292  15 10 36   4.44  0.3017     58.3   493.9   475.0   481.3   1005.5    43.1	4
2001 292  15 11 36   4.45  0.2493     50.5   384.8   286.6   319.3    693.5    40.1	4
